Segment,Calibration,Class,Directionality,ECE (Mean±Std),MCE (Mean±Std),ACE (Mean±Std),MCS (Mean±Std)
07_MP,Cal,Human,BALANCED,0.0017 ± 0.0002,0.3717 ± 0.1704,0.0015 ± 0.0001,-0.0012 ± 0.0001
07_MP,Cal,Non-human Mammal,BALANCED,0.0006 ± 0.0002,0.3797 ± 0.1897,0.0013 ± 0.0003,-0.0002 ± 0.0002
07_MP,Orig,Avian,BALANCED,0.0136 ± 0.0041,0.5195 ± 0.0958,0.0103 ± 0.0033,0.0036 ± 0.0027
07_MP,Orig,Human,UNDERCONF,0.0828 ± 0.0176,0.5250 ± 0.0494,0.0774 ± 0.0185,-0.0756 ± 0.0188
07_MP,Orig,Non-human Mammal,OVERCONF,0.0775 ± 0.0167,0.5042 ± 0.0550,0.0720 ± 0.0173,0.0720 ± 0.0173
08_NS,Cal,Avian,BALANCED,0.0010 ± 0.0001,0.6171 ± 0.1342,0.0012 ± 0.0001,0.0009 ± 0.0002
08_NS,Cal,Human,BALANCED,0.0016 ± 0.0001,0.3746 ± 0.1309,0.0013 ± 0.0001,-0.0013 ± 0.0001
08_NS,Cal,Non-human Mammal,BALANCED,0.0007 ± 0.0001,0.4052 ± 0.1726,0.0015 ± 0.0003,0.0004 ± 0.0001
08_NS,Orig,Avian,BALANCED,0.0175 ± 0.0049,0.4188 ± 0.0705,0.0122 ± 0.0037,0.0022 ± 0.0030
08_NS,Orig,Human,UNDERCONF,0.0865 ± 0.0232,0.4986 ± 0.0424,0.0818 ± 0.0226,-0.0795 ± 0.0220
08_NS,Orig,Non-human Mammal,OVERCONF,0.0799 ± 0.0217,0.4468 ± 0.0353,0.0772 ± 0.0215,0.0772 ± 0.0215
