Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
02_PB1,0,Cal,Human,0.0014,0.6646,0.0012,-0.0012,BALANCED
02_PB1,0,Cal,Avian,0.0009,0.1174,0.0011,0.0009,BALANCED
02_PB1,0,Cal,Non-human Mammal,0.0005,0.6639,0.0015,0.0003,BALANCED
02_PB1,1,Orig,Human,0.105,0.5334,0.1024,-0.0926,UNDERCONF
02_PB1,1,Orig,Avian,0.0203,0.3439,0.0193,0.0039,BALANCED
02_PB1,1,Orig,Non-human Mammal,0.0913,0.5035,0.0887,0.0887,OVERCONF
02_PB1,1,Cal,Human,0.0023,0.4716,0.0013,-0.0008,BALANCED
02_PB1,1,Cal,Avian,0.0013,0.7289,0.0001,0.0001,BALANCED
02_PB1,1,Cal,Non-human Mammal,0.0011,0.5081,0.0018,0.0007,BALANCED
02_PB1,2,Orig,Human,0.1057,0.6357,0.1043,-0.1007,UNDERCONF
02_PB1,2,Orig,Avian,0.0205,0.3394,0.0191,0.0148,BALANCED
02_PB1,2,Orig,Non-human Mammal,0.0886,0.5153,0.0859,0.0859,OVERCONF
02_PB1,2,Cal,Human,0.0015,0.3465,0.0012,-0.0012,BALANCED
02_PB1,2,Cal,Avian,0.0013,0.367,0.0013,0.0011,BALANCED
02_PB1,2,Cal,Non-human Mammal,0.0003,0.2921,0.0013,0.0001,BALANCED
02_PB1,3,Orig,Human,0.1156,0.5431,0.1129,-0.1065,UNDERCONF
02_PB1,3,Orig,Avian,0.0231,0.333,0.0218,0.0124,BALANCED
02_PB1,3,Orig,Non-human Mammal,0.0985,0.3801,0.094,0.094,OVERCONF
02_PB1,3,Cal,Human,0.0014,0.1748,0.0013,-0.0012,BALANCED
02_PB1,3,Cal,Avian,0.0012,0.6471,0.0011,0.0011,BALANCED
02_PB1,3,Cal,Non-human Mammal,0.0004,0.2466,0.001,0.0002,BALANCED
02_PB1,4,Orig,Human,0.1231,0.6052,0.1223,-0.1156,UNDERCONF
02_PB1,4,Orig,Avian,0.03,0.3466,0.0288,0.0146,BALANCED
02_PB1,4,Orig,Non-human Mammal,0.1039,0.5022,0.101,0.101,OVERCONF
02_PB1,4,Cal,Human,0.0025,0.2696,0.001,-0.001,BALANCED
02_PB1,4,Cal,Avian,0.0015,0.6064,0.0,-0.0,BALANCED
02_PB1,4,Cal,Non-human Mammal,0.0013,0.4082,0.002,0.001,BALANCED
02_PB1,5,Orig,Human,0.1001,0.5116,0.0986,-0.0952,UNDERCONF
02_PB1,5,Orig,Avian,0.0148,0.4251,0.0138,0.0079,BALANCED
02_PB1,5,Orig,Non-human Mammal,0.0902,0.3956,0.0874,0.0874,OVERCONF
02_PB1,5,Cal,Human,0.0013,0.3846,0.0012,-0.0012,BALANCED
02_PB1,5,Cal,Avian,0.0011,0.3214,0.0011,0.001,BALANCED
02_PB1,5,Cal,Non-human Mammal,0.0003,0.4569,0.0008,0.0001,BALANCED
02_PB1,6,Orig,Human,0.1346,0.6072,0.1322,-0.1264,UNDERCONF
02_PB1,6,Orig,Avian,0.0237,0.3361,0.0225,0.0122,BALANCED
02_PB1,6,Orig,Non-human Mammal,0.1175,0.4962,0.1142,0.1142,OVERCONF
02_PB1,6,Cal,Human,0.0013,0.2199,0.0011,-0.0011,BALANCED
02_PB1,6,Cal,Avian,0.0011,0.7792,0.0012,0.001,BALANCED
02_PB1,6,Cal,Non-human Mammal,0.0003,0.2312,0.0013,0.0002,BALANCED
02_PB1,7,Orig,Human,0.1629,0.5818,0.1575,-0.1502,UNDERCONF
02_PB1,7,Orig,Avian,0.0249,0.332,0.024,0.0119,BALANCED
02_PB1,7,Orig,Non-human Mammal,0.1464,0.4922,0.1383,0.1383,OVERCONF
02_PB1,7,Cal,Human,0.0015,0.2942,0.0015,-0.0012,BALANCED
02_PB1,7,Cal,Avian,0.0012,0.6849,0.0012,0.0012,BALANCED
02_PB1,7,Cal,Non-human Mammal,0.0005,0.3073,0.0012,-0.0,BALANCED
02_PB1,8,Orig,Human,0.1179,0.5485,0.1151,-0.1087,UNDERCONF
02_PB1,8,Orig,Avian,0.0195,0.4011,0.0186,0.0028,BALANCED
02_PB1,8,Orig,Non-human Mammal,0.108,0.4321,0.106,0.106,OVERCONF
02_PB1,8,Cal,Human,0.0017,0.3176,0.0013,-0.0012,BALANCED
02_PB1,8,Cal,Avian,0.001,0.5313,0.0005,0.0004,BALANCED
