Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
06_NA,3,Orig,Non-human Mammal,0.1861,0.3776,0.1769,0.1769,OVERCONF
06_NA,3,Cal,Human,0.0011,0.4656,0.0011,-0.0008,BALANCED
06_NA,3,Cal,Avian,0.001,0.7881,0.0011,0.001,BALANCED
06_NA,3,Cal,Non-human Mammal,0.0004,0.4678,0.001,-0.0001,BALANCED
06_NA,4,Orig,Human,0.2145,0.5802,0.2102,-0.2009,UNDERCONF
06_NA,4,Orig,Avian,0.0323,0.377,0.0267,0.0096,BALANCED
06_NA,4,Orig,Non-human Mammal,0.1992,0.4563,0.1912,0.1912,OVERCONF
06_NA,4,Cal,Human,0.0014,0.383,0.0011,-0.001,BALANCED
06_NA,4,Cal,Avian,0.0008,0.3705,0.001,0.0008,BALANCED
06_NA,4,Cal,Non-human Mammal,0.0005,0.6737,0.0012,0.0002,BALANCED
06_NA,5,Orig,Human,0.1993,0.5652,0.1963,-0.19,UNDERCONF
06_NA,5,Orig,Avian,0.0316,0.3387,0.0263,0.0116,BALANCED
06_NA,5,Orig,Non-human Mammal,0.1859,0.364,0.1784,0.1784,OVERCONF
06_NA,5,Cal,Human,0.0012,0.5542,0.0009,-0.0009,BALANCED
06_NA,5,Cal,Avian,0.0009,0.228,0.001,0.0009,BALANCED
06_NA,5,Cal,Non-human Mammal,0.0002,0.3617,0.0007,-0.0,BALANCED
06_NA,6,Orig,Human,0.2325,0.5,0.2285,-0.2239,UNDERCONF
06_NA,6,Orig,Avian,0.028,0.461,0.0229,0.0147,BALANCED
06_NA,6,Orig,Non-human Mammal,0.2199,0.3753,0.2092,0.2092,OVERCONF
06_NA,6,Cal,Human,0.0015,0.3831,0.001,-0.0008,BALANCED
06_NA,6,Cal,Avian,0.0011,0.1198,0.0012,0.0011,BALANCED
06_NA,6,Cal,Non-human Mammal,0.0008,0.3628,0.0012,-0.0002,BALANCED
06_NA,7,Orig,Human,0.2316,0.5232,0.2287,-0.2237,UNDERCONF
06_NA,7,Orig,Avian,0.0279,0.3836,0.0235,0.014,BALANCED
06_NA,7,Orig,Non-human Mammal,0.2166,0.4076,0.2097,0.2097,OVERCONF
06_NA,7,Cal,Human,0.0011,0.2535,0.0011,-0.0009,BALANCED
06_NA,7,Cal,Avian,0.001,0.7323,0.001,0.0009,BALANCED
06_NA,7,Cal,Non-human Mammal,0.0004,0.2931,0.0011,-0.0001,BALANCED
06_NA,8,Orig,Human,0.1858,0.453,0.1826,-0.1777,UNDERCONF
06_NA,8,Orig,Avian,0.0246,0.3497,0.0199,0.0102,BALANCED
06_NA,8,Orig,Non-human Mammal,0.1753,0.339,0.1676,0.1676,OVERCONF
06_NA,8,Cal,Human,0.0014,0.4443,0.001,-0.0007,BALANCED
06_NA,8,Cal,Avian,0.0011,0.7607,0.0011,0.001,BALANCED
06_NA,8,Cal,Non-human Mammal,0.0005,0.4486,0.0008,-0.0003,BALANCED
06_NA,9,Orig,Human,0.1604,0.575,0.158,-0.1546,UNDERCONF
06_NA,9,Orig,Avian,0.0322,0.3742,0.0265,0.0059,BALANCED
06_NA,9,Orig,Non-human Mammal,0.152,0.4178,0.1487,0.1487,OVERCONF
06_NA,9,Cal,Human,0.001,0.3623,0.0009,-0.0007,BALANCED
06_NA,9,Cal,Avian,0.0005,0.4436,0.0006,0.0005,BALANCED
06_NA,9,Cal,Non-human Mammal,0.0006,0.3467,0.0008,0.0002,BALANCED
07_MP,0,Orig,Human,0.0975,0.5968,0.0929,-0.0908,UNDERCONF
07_MP,0,Orig,Avian,0.0192,0.568,0.0147,0.0081,BALANCED
07_MP,0,Orig,Non-human Mammal,0.0866,0.5083,0.0827,0.0827,OVERCONF
07_MP,0,Cal,Human,0.0017,0.7252,0.0015,-0.0013,BALANCED
07_MP,0,Cal,Avian,0.0011,0.3543,0.0012,0.0011,BALANCED
07_MP,0,Cal,Non-human Mammal,0.0005,0.7378,0.0017,0.0002,BALANCED
07_MP,1,Orig,Human,0.115,0.5344,0.1101,-0.1093,UNDERCONF
07_MP,1,Orig,Avian,0.0083,0.6394,0.0061,0.0031,BALANCED
07_MP,1,Orig,Non-human Mammal,0.1122,0.5424,0.1062,0.1062,OVERCONF
07_MP,1,Cal,Human,0.0018,0.2672,0.0016,-0.0012,BALANCED
07_MP,1,Cal,Avian,0.0015,0.8523,0.0017,0.0015,BALANCED
07_MP,1,Cal,Non-human Mammal,0.0004,0.385,0.002,-0.0003,BALANCED
07_MP,2,Orig,Human,0.0815,0.4968,0.0743,-0.0724,UNDERCONF
07_MP,2,Orig,Avian,0.0125,0.68,0.0108,0.0057,BALANCED
07_MP,2,Orig,Non-human Mammal,0.0748,0.4296,0.0667,0.0667,OVERCONF
07_MP,2,Cal,Human,0.0019,0.5357,0.0016,-0.0012,BALANCED
07_MP,2,Cal,Avian,0.0016,0.8677,0.0018,0.0016,BALANCED
07_MP,2,Cal,Non-human Mammal,0.0006,0.6695,0.0012,-0.0004,BALANCED
07_MP,3,Orig,Human,0.074,0.5571,0.0693,-0.0669,UNDERCONF
07_MP,3,Orig,Avian,0.0154,0.3616,0.011,0.0003,BALANCED
07_MP,3,Orig,Non-human Mammal,0.0718,0.559,0.0666,0.0666,OVERCONF
07_MP,3,Cal,Human,0.0016,0.3806,0.0013,-0.0012,BALANCED
07_MP,3,Cal,Avian,0.0014,0.254,0.0014,0.0013,BALANCED
07_MP,3,Cal,Non-human Mammal,0.0003,0.3821,0.001,-0.0001,BALANCED
07_MP,4,Orig,Human,0.0804,0.5529,0.0764,-0.0757,UNDERCONF
07_MP,4,Orig,Avian,0.0124,0.4154,0.0092,0.0052,BALANCED
07_MP,4,Orig,Non-human Mammal,0.0753,0.517,0.0705,0.0705,OVERCONF
07_MP,4,Cal,Human,0.0016,0.1371,0.0013,-0.0012,BALANCED
07_MP,4,Cal,Avian,0.0015,0.2648,0.0015,0.0014,BALANCED
07_MP,4,Cal,Non-human Mammal,0.0005,0.1354,0.0011,-0.0002,BALANCED
07_MP,5,Orig,Human,0.0468,0.4226,0.0386,-0.0366,UNDERCONF
07_MP,5,Orig,Avian,0.0075,0.5435,0.0048,-0.0006,BALANCED
07_MP,5,Orig,Non-human Mammal,0.0452,0.4172,0.0372,0.0372,OVERCONF
07_MP,5,Cal,Human,0.0013,0.3684,0.0012,-0.0011,BALANCED
07_MP,5,Cal,Avian,0.0015,0.7966,0.0015,0.0014,BALANCED
07_MP,5,Cal,Non-human Mammal,0.0005,0.3097,0.0015,-0.0003,BALANCED
07_MP,6,Orig,Human,0.0881,0.5716,0.0837,-0.0812,UNDERCONF
07_MP,6,Orig,Avian,0.0191,0.4894,0.0149,0.0053,BALANCED
07_MP,6,Orig,Non-human Mammal,0.0803,0.5961,0.0759,0.0759,OVERCONF
07_MP,6,Cal,Human,0.0017,0.4536,0.0015,-0.0014,BALANCED
07_MP,6,Cal,Avian,0.0016,0.8057,0.0017,0.0015,BALANCED
07_MP,6,Cal,Non-human Mammal,0.0004,0.2926,0.001,-0.0001,BALANCED
07_MP,7,Orig,Human,0.0748,0.4976,0.0691,-0.0661,UNDERCONF
07_MP,7,Orig,Avian,0.0132,0.488,0.0095,0.0015,BALANCED
07_MP,7,Orig,Non-human Mammal,0.0698,0.4889,0.0645,0.0645,OVERCONF
07_MP,7,Cal,Human,0.0018,0.1928,0.0014,-0.0012,BALANCED
07_MP,7,Cal,Avian,0.0014,0.4787,0.0015,0.0014,BALANCED
07_MP,7,Cal,Non-human Mammal,0.0007,0.1864,0.0011,-0.0002,BALANCED
07_MP,8,Orig,Human,0.0801,0.4982,0.0746,-0.0725,UNDERCONF
07_MP,8,Orig,Avian,0.0174,0.4773,0.0127,0.0031,BALANCED
07_MP,8,Orig,Non-human Mammal,0.0741,0.4769,0.0694,0.0694,OVERCONF
07_MP,8,Cal,Human,0.0019,0.3068,0.0016,-0.0009,BALANCED
07_MP,8,Cal,Avian,0.0013,0.6681,0.0015,0.0013,BALANCED
07_MP,8,Cal,Non-human Mammal,0.0011,0.3399,0.0011,-0.0004,BALANCED
07_MP,9,Orig,Human,0.09,0.5221,0.0854,-0.0846,UNDERCONF
07_MP,9,Orig,Avian,0.0114,0.5322,0.009,0.0046,BALANCED
07_MP,9,Orig,Non-human Mammal,0.0849,0.5065,0.08,0.08,OVERCONF
07_MP,9,Cal,Human,0.0018,0.3494,0.0015,-0.0012,BALANCED
07_MP,9,Cal,Avian,0.0016,0.0131,0.0018,0.0016,BALANCED
07_MP,9,Cal,Non-human Mammal,0.0006,0.3583,0.0012,-0.0004,BALANCED
08_NS,0,Orig,Human,0.0589,0.4928,0.054,-0.0514,UNDERCONF
08_NS,0,Orig,Avian,0.0148,0.3391,0.0114,-0.0045,BALANCED
08_NS,0,Orig,Non-human Mammal,0.0579,0.4288,0.0559,0.0559,OVERCONF
08_NS,0,Cal,Human,0.0014,0.3432,0.0012,-0.0011,BALANCED
08_NS,0,Cal,Avian,0.0009,0.755,0.0014,0.0006,BALANCED
08_NS,0,Cal,Non-human Mammal,0.0006,0.3453,0.0011,0.0005,BALANCED
08_NS,1,Orig,Human,0.0713,0.4583,0.0664,-0.0633,UNDERCONF
08_NS,1,Orig,Avian,0.0137,0.3867,0.0096,0.0004,BALANCED
08_NS,1,Orig,Non-human Mammal,0.0667,0.3912,0.0629,0.0629,OVERCONF
08_NS,1,Cal,Human,0.0014,0.1994,0.0013,-0.0013,BALANCED
08_NS,1,Cal,Avian,0.0011,0.6111,0.0012,0.0011,BALANCED
08_NS,1,Cal,Non-human Mammal,0.0006,0.4021,0.0014,0.0002,BALANCED
08_NS,2,Orig,Human,0.0843,0.4742,0.0787,-0.0768,UNDERCONF
08_NS,2,Orig,Avian,0.0161,0.4077,0.0105,0.0043,BALANCED
08_NS,2,Orig,Non-human Mammal,0.0763,0.4254,0.0725,0.0725,OVERCONF
08_NS,2,Cal,Human,0.0016,0.3737,0.0014,-0.0014,BALANCED
08_NS,2,Cal,Avian,0.0011,0.6613,0.0011,0.001,BALANCED
08_NS,2,Cal,Non-human Mammal,0.0006,0.4593,0.0019,0.0003,BALANCED
08_NS,3,Orig,Human,0.1346,0.5632,0.1288,-0.1259,UNDERCONF
08_NS,3,Orig,Avian,0.0215,0.3308,0.0149,0.0022,BALANCED
08_NS,3,Orig,Non-human Mammal,0.1266,0.492,0.1236,0.1236,OVERCONF
08_NS,3,Cal,Human,0.0018,0.6546,0.0015,-0.0015,BALANCED
08_NS,3,Cal,Avian,0.001,0.6205,0.0011,0.0009,BALANCED
08_NS,3,Cal,Non-human Mammal,0.0009,0.6801,0.0019,0.0005,BALANCED
08_NS,4,Orig,Human,0.0878,0.4569,0.0815,-0.0773,UNDERCONF
08_NS,4,Orig,Avian,0.0255,0.385,0.0186,0.004,BALANCED
08_NS,4,Orig,Non-human Mammal,0.0764,0.4681,0.0734,0.0734,OVERCONF
08_NS,4,Cal,Human,0.0016,0.4586,0.0012,-0.0012,BALANCED
08_NS,4,Cal,Avian,0.0012,0.4442,0.0012,0.0005,BALANCED
08_NS,4,Cal,Non-human Mammal,0.0009,0.3161,0.0019,0.0007,BALANCED
08_NS,5,Orig,Human,0.081,0.493,0.0777,-0.0767,UNDERCONF
08_NS,5,Orig,Avian,0.0153,0.4625,0.0104,0.0062,BALANCED
08_NS,5,Orig,Non-human Mammal,0.0739,0.4654,0.0705,0.0705,OVERCONF
08_NS,5,Cal,Human,0.0016,0.4126,0.0013,-0.0013,BALANCED
08_NS,5,Cal,Avian,0.0011,0.3229,0.0011,0.001,BALANCED
08_NS,5,Cal,Non-human Mammal,0.0006,0.411,0.0012,0.0003,BALANCED
08_NS,6,Orig,Human,0.075,0.4409,0.0695,-0.0675,UNDERCONF
08_NS,6,Orig,Avian,0.0203,0.5387,0.0137,0.0017,BALANCED
08_NS,6,Orig,Non-human Mammal,0.0683,0.406,0.0658,0.0658,OVERCONF
08_NS,6,Cal,Human,0.0015,0.3474,0.0013,-0.0013,BALANCED
08_NS,6,Cal,Avian,0.001,0.6523,0.0014,0.0008,BALANCED
08_NS,6,Cal,Non-human Mammal,0.0007,0.1917,0.0012,0.0005,BALANCED
08_NS,7,Orig,Human,0.0663,0.5201,0.0644,-0.0644,UNDERCONF
08_NS,7,Orig,Avian,0.014,0.444,0.0096,0.0051,BALANCED
08_NS,7,Orig,Non-human Mammal,0.0605,0.4896,0.0592,0.0592,OVERCONF
08_NS,7,Cal,Human,0.0016,0.2546,0.0014,-0.0014,BALANCED
08_NS,7,Cal,Avian,0.0011,0.738,0.0011,0.001,BALANCED
08_NS,7,Cal,Non-human Mammal,0.0005,0.2302,0.0013,0.0004,BALANCED
08_NS,8,Orig,Human,0.1173,0.5534,0.1113,-0.1068,UNDERCONF
08_NS,8,Orig,Avian,0.0233,0.3763,0.0166,0.002,BALANCED
08_NS,8,Orig,Non-human Mammal,0.1081,0.4728,0.1048,0.1048,OVERCONF
08_NS,8,Cal,Human,0.0015,0.2526,0.0014,-0.0014,BALANCED
08_NS,8,Cal,Avian,0.001,0.6944,0.001,0.001,BALANCED
08_NS,8,Cal,Non-human Mammal,0.0007,0.3076,0.0019,0.0004,BALANCED
08_NS,9,Orig,Human,0.0889,0.5333,0.0856,-0.0847,UNDERCONF
08_NS,9,Orig,Avian,0.0101,0.5167,0.0065,0.001,BALANCED
08_NS,9,Orig,Non-human Mammal,0.0846,0.4287,0.0837,0.0837,OVERCONF
08_NS,9,Cal,Human,0.0015,0.4495,0.0014,-0.0014,BALANCED
08_NS,9,Cal,Avian,0.0009,0.671,0.001,0.0009,BALANCED
08_NS,9,Cal,Non-human Mammal,0.0007,0.7089,0.0013,0.0005,BALANCED
