Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
03_PA,H5Nx (North America),Non-human Mammal,1926,0.177,0.2193,0.1701,0.1759,0.0221
04_HA,H1N1,Human,89703,0.7678,0.8432,0.733,0.7314,0.0758
04_HA,H1N1,Non-human Mammal,7915,0.6968,0.7924,0.6186,0.6309,0.0938
04_HA,H3N2,Human,98599,0.9351,1.0574,0.8653,0.8593,0.1225
04_HA,H3N2,Non-human Mammal,5074,0.7349,0.8502,0.666,0.675,0.099
04_HA,H2N2,Human,100,0.418,0.5658,0.3596,0.3661,0.106
04_HA,H1N2,Human,80,0.7335,0.8915,0.6427,0.6583,0.125
04_HA,H1N2,Non-human Mammal,6179,0.6989,0.8168,0.6144,0.6357,0.1022
04_HA,H3N8,Human,5,0.2082,0.2174,0.205,0.2012,0.0187
04_HA,H3N8,Non-human Mammal,599,0.5957,0.7394,0.53,0.5325,0.1142
04_HA,H7N7,Human,41,0.3305,0.3858,0.2685,0.2773,0.0825
04_HA,H7N7,Non-human Mammal,12,0.564,0.6605,0.4857,0.5021,0.1045
04_HA,H7N9,Human,911,0.3635,0.4805,0.2638,0.3005,0.0952
04_HA,H7N9,Non-human Mammal,3,0.2357,0.2439,0.2254,0.2198,0.0294
04_HA,H9N2,Human,83,0.2905,0.4079,0.2111,0.2299,0.0964
04_HA,H9N2,Non-human Mammal,61,0.354,0.4058,0.2981,0.2998,0.0717
04_HA,H5N1,Human,564,0.3319,0.429,0.2674,0.2742,0.0914
04_HA,H5N1,Non-human Mammal,152,0.2552,0.3632,0.1521,0.1863,0.0947
04_HA,H5N6,Human,52,0.2261,0.3367,0.1988,0.2116,0.0626
04_HA,H5N6,Non-human Mammal,20,0.2683,0.4715,0.2298,0.2596,0.0974
04_HA,H5Nx (North America),Human,49,0.1438,0.1654,0.105,0.1204,0.0312
04_HA,H5Nx (North America),Non-human Mammal,1783,0.099,0.1421,0.0955,0.0995,0.0176
05_NP,H1N1,Human,42267,0.7949,0.9192,0.7264,0.7237,0.1139
05_NP,H1N1,Non-human Mammal,3938,0.8028,0.9493,0.718,0.7231,0.1313
05_NP,H3N2,Human,50652,0.7661,0.8675,0.7339,0.7368,0.0702
05_NP,H3N2,Non-human Mammal,2694,0.7806,0.9249,0.7082,0.711,0.12
05_NP,H2N2,Human,112,0.749,0.8205,0.6793,0.6785,0.0897
05_NP,H1N2,Human,72,0.7316,0.8823,0.6759,0.6712,0.1265
05_NP,H1N2,Non-human Mammal,2916,0.7807,0.9288,0.7058,0.7079,0.1258
05_NP,H3N8,Human,5,0.1771,0.1908,0.1722,0.1676,0.0228
05_NP,H3N8,Non-human Mammal,255,0.6965,0.8152,0.6044,0.6087,0.1239
05_NP,H7N7,Human,3,0.3137,0.353,0.2646,0.287,0.0674
05_NP,H7N7,Non-human Mammal,14,0.5815,0.7007,0.5056,0.5149,0.1256
05_NP,H7N9,Human,783,0.3277,0.4173,0.2753,0.285,0.0688
05_NP,H7N9,Non-human Mammal,2,0.3146,0.3172,0.3115,0.3115,0.0089
05_NP,H9N2,Human,68,0.3149,0.4267,0.2458,0.2595,0.0841
05_NP,H9N2,Non-human Mammal,44,0.3419,0.4417,0.2955,0.318,0.14
05_NP,H5N1,Human,416,0.3302,0.4468,0.2703,0.2843,0.0859
05_NP,H5N1,Non-human Mammal,107,0.2424,0.3435,0.1742,0.2,0.0944
05_NP,H5N6,Human,41,0.2871,0.3516,0.2395,0.2358,0.0968
05_NP,H5N6,Non-human Mammal,20,0.2855,0.3255,0.2605,0.2557,0.0504
05_NP,H5Nx (North America),Human,31,0.1339,0.1379,0.1314,0.1312,0.0089
05_NP,H5Nx (North America),Non-human Mammal,1343,0.1948,0.2157,0.1901,0.1873,0.0199
06_NA,H1N1,Human,74105,0.8583,0.9705,0.8193,0.8211,0.0854
06_NA,H1N1,Non-human Mammal,7256,0.8455,0.9819,0.785,0.7744,0.1271
06_NA,H3N2,Human,82306,1.0924,1.1668,1.0302,0.9971,0.1229
06_NA,H3N2,Non-human Mammal,4853,0.881,0.9831,0.8084,0.8113,0.1073
06_NA,H2N2,Human,124,0.9326,1.0904,0.8655,0.8326,0.1614
06_NA,H1N2,Human,115,1.008,1.114,0.8793,0.8668,0.1726
06_NA,H1N2,Non-human Mammal,5771,0.8721,0.9589,0.7972,0.8017,0.101
06_NA,H3N8,Human,6,0.2152,0.2158,0.2081,0.203,0.0152
06_NA,H3N8,Non-human Mammal,449,0.8001,0.897,0.7016,0.6902,0.1398
06_NA,H7N7,Human,43,0.4887,0.5772,0.4423,0.4257,0.094
06_NA,H7N7,Non-human Mammal,11,0.6379,0.6581,0.6048,0.5633,0.0975
06_NA,H7N9,Human,804,0.511,0.6672,0.438,0.4603,0.1077
06_NA,H7N9,Non-human Mammal,3,0.4559,0.5184,0.3777,0.4081,0.1138
06_NA,H9N2,Human,76,0.4575,0.5631,0.3715,0.3686,0.1178
06_NA,H9N2,Non-human Mammal,66,0.5151,0.6379,0.4563,0.4565,0.0969
06_NA,H5N1,Human,490,0.4229,0.5103,0.3699,0.367,0.0894
06_NA,H5N1,Non-human Mammal,110,0.3565,0.4654,0.3074,0.3282,0.094
06_NA,H5N6,Human,49,0.2972,0.3744,0.2201,0.2279,0.0937
