Segment,Train_Count,Train_Year,Train_Ambiguous,Train_Length,Train_Hosts,Train_H1N1,Train_H3N2,Train_H1N2,Train_H2N2,Train_H3N8,Train_H7N7,Train_H7N9,Train_H9N2,Train_H5N6,Train_H5N1,Train_2a,Train_2a.1,Test_Count,Test_Year,Test_Ambiguous,Test_Length,Test_Hosts,Test_H1N1,Test_H3N2,Test_H1N2,Test_H2N2,Test_H3N8,Test_H7N7,Test_H7N9,Test_H9N2,Test_H5N6,Test_H5N1,Test_2a,Test_2a.1,Duplicated_Sequences
01_PB2,78732,1902 - 2019,0 - 10,1874 - 2396,"{0: 47090, 1: 23177, 2: 8465}",24113,27739,2499,192,1441,457,1593,3710,1266,3306,2,0,83325,2020 - 2025,0 - 10,1889 - 2367,"{0: 73749, 1: 7495, 2: 2081}",35916,39031,638,1,295,20,21,486,135,4463,18117,13607,0
02_PB1,77369,1902 - 2019,0 - 10,1876 - 2364,"{0: 45746, 1: 23238, 2: 8385}",22592,27948,2462,184,1459,344,1603,3688,1294,3375,2,0,77041,2020 - 2025,0 - 10,1881 - 2357,"{0: 67671, 1: 7347, 2: 2023}",31532,37306,642,1,296,18,21,391,134,4456,15676,12036,0
03_PA,77642,1902 - 2019,0 - 10,1791 - 2307,"{0: 46233, 1: 22842, 2: 8567}",23784,27150,2551,184,1449,346,1549,3594,1219,3312,2,0,85772,2020 - 2025,0 - 10,1786 - 2248,"{0: 76133, 1: 7597, 2: 2042}",35907,41383,650,1,265,20,22,446,136,4670,18436,13240,0
04_HA,148068,1902 - 2019,0 - 10,1409 - 1804,"{0: 98994, 1: 34009, 2: 15065}",51096,56122,4713,194,1873,567,1649,8520,1342,5814,3,1,105804,2020 - 2025,0 - 10,1410 - 1792,"{0: 92667, 1: 7878, 2: 5259}",47195,47983,1626,1,326,24,35,692,156,4537,24157,16151,0
05_NP,67847,1902 - 2019,0 - 10,1252 - 1586,"{0: 38315, 1: 21163, 2: 8369}",19693,23418,2461,175,1360,335,1377,3458,1072,3250,5,0,64768,2020 - 2025,0 - 10,1266 - 1586,"{0: 56347, 1: 6543, 2: 1878}",27106,30278,602,1,261,20,20,470,105,3851,14143,9556,0
06_NA,117668,1900 - 2019,0 - 10,1173 - 1486,"{0: 79377, 1: 24539, 2: 13752}",41662,45902,4407,212,1606,491,1455,4544,1200,4488,4,1,90940,2020 - 2025,0 - 10,1174 - 1485,"{0: 78852, 1: 7178, 2: 4910}",40356,41673,1554,1,329,21,20,486,141,4158,20895,13510,0
07_MP,66148,1902 - 2019,0 - 10,821 - 1183,"{0: 36418, 1: 20161, 2: 9569}",19479,22322,2990,192,1379,316,1070,3343,933,3402,4,0,45171,2020 - 2025,0 - 10,823 - 1044,"{0: 38179, 1: 5373, 2: 1619}",18556,20423,540,1,219,20,18,412,104,2965,9656,6309,0
08_NS,57299,1902 - 2019,0 - 10,712 - 917,"{0: 29352, 1: 20104, 2: 7843}",16209,17565,2338,183,1328,319,1148,3409,946,3273,4,0,48694,2020 - 2025,0 - 10,714 - 928,"{0: 41053, 1: 5943, 2: 1698}",20096,21861,540,1,206,24,19,412,100,3492,9762,7612,0
ALL,690773,,,,,218628,248166,24421,1516,11895,3175,11444,34266,9272,30220,26,2,601515,,,,,256664,279938,6792,8,2197,167,176,3795,1011,32592,130842,92021,0
