Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
04_HA,H1N1,Human,89703,1.1631,1.2605,1.113,1.1012,0.1101
04_HA,H1N1,Non-human Mammal,7915,1.1635,1.334,1.0423,1.0459,0.1812
04_HA,H3N2,Human,98599,0.9802,1.1155,0.9045,0.9072,0.1254
04_HA,H3N2,Non-human Mammal,5074,1.1028,1.2649,1.0256,1.0332,0.1255
04_HA,H2N2,Human,100,1.425,1.5872,1.3119,1.2823,0.2014
04_HA,H1N2,Human,80,1.4347,1.5465,1.2451,1.2393,0.2114
04_HA,H1N2,Non-human Mammal,6179,1.1054,1.2681,1.0261,1.0188,0.1529
04_HA,H3N8,Human,5,1.5684,1.5751,1.5269,1.5363,0.0345
04_HA,H3N8,Non-human Mammal,599,1.2395,1.368,1.0884,1.1009,0.1774
04_HA,H7N7,Human,41,1.3808,1.4865,1.2228,1.2338,0.1768
04_HA,H7N7,Non-human Mammal,12,1.3975,1.4403,1.3728,1.3416,0.0873
04_HA,H7N9,Human,911,1.2633,1.5052,1.1115,1.0628,0.2762
04_HA,H7N9,Non-human Mammal,3,1.7297,1.7522,1.7017,1.689,0.0758
04_HA,H9N2,Human,83,1.4865,1.6582,1.4461,1.4114,0.1558
04_HA,H9N2,Non-human Mammal,61,1.6076,1.7374,1.5307,1.5357,0.1233
04_HA,H5N1,Human,564,1.4615,1.604,1.258,1.2753,0.2138
04_HA,H5N1,Non-human Mammal,152,1.7841,1.8142,1.7251,1.687,0.1176
04_HA,H5N6,Human,52,1.5661,1.6775,1.4976,1.4147,0.2063
04_HA,H5N6,Non-human Mammal,20,1.6575,1.6847,1.6384,1.5941,0.1097
04_HA,H5Nx (North America),Human,49,1.538,1.5592,1.524,1.5252,0.0285
04_HA,H5Nx (North America),Non-human Mammal,1783,1.8179,1.8272,1.8115,1.8032,0.0327
05_NP,H1N1,Human,42267,1.0995,1.3311,0.9936,1.0284,0.1471
05_NP,H1N1,Non-human Mammal,3938,1.0817,1.2994,0.9609,0.9832,0.1675
05_NP,H3N2,Human,50652,0.9916,1.159,0.923,0.9486,0.1067
05_NP,H3N2,Non-human Mammal,2694,1.0705,1.2693,0.9471,0.9759,0.161
05_NP,H2N2,Human,112,1.2036,1.3579,1.0965,1.1198,0.1295
05_NP,H1N2,Human,72,1.4644,1.5983,1.2533,1.2543,0.2343
05_NP,H1N2,Non-human Mammal,2916,1.0675,1.2807,0.9528,0.9752,0.1599
05_NP,H3N8,Human,5,1.7742,1.7879,1.7505,1.7289,0.0784
05_NP,H3N8,Non-human Mammal,255,1.2103,1.4045,1.0743,1.1006,0.1631
05_NP,H7N7,Human,3,1.5083,1.5129,1.5026,1.4515,0.0986
05_NP,H7N7,Non-human Mammal,14,1.2575,1.3281,1.1626,1.1768,0.1087
05_NP,H7N9,Human,783,1.3808,1.5318,1.2272,1.2006,0.2354
05_NP,H7N9,Non-human Mammal,2,1.6731,1.72,1.6145,1.6145,0.1658
05_NP,H9N2,Human,68,1.7039,1.7582,1.5051,1.4852,0.2236
05_NP,H9N2,Non-human Mammal,44,1.6095,1.7673,1.5505,1.5229,0.1585
05_NP,H5N1,Human,416,1.5813,1.7011,1.4735,1.4198,0.2234
05_NP,H5N1,Non-human Mammal,107,1.721,1.8364,1.6648,1.6479,0.1328
05_NP,H5N6,Human,41,1.7468,1.8269,1.5598,1.502,0.2477
05_NP,H5N6,Non-human Mammal,20,1.6671,1.7075,1.6227,1.5921,0.1003
05_NP,H5Nx (North America),Human,31,1.7788,1.7876,1.7716,1.7677,0.0279
05_NP,H5Nx (North America),Non-human Mammal,1343,1.7009,1.757,1.689,1.6932,0.0342
06_NA,H1N1,Human,74105,1.062,1.2072,1.0139,1.0279,0.0931
06_NA,H1N1,Non-human Mammal,7256,1.1176,1.3277,0.979,1.0085,0.1658
06_NA,H3N2,Human,82306,0.9176,1.0741,0.8448,0.8569,0.1116
06_NA,H3N2,Non-human Mammal,4853,1.0391,1.1911,0.9896,1.0102,0.0928
06_NA,H2N2,Human,124,1.1195,1.3222,0.9413,0.9881,0.195
06_NA,H1N2,Human,115,1.2334,1.4449,1.0559,1.0739,0.2219
06_NA,H1N2,Non-human Mammal,5771,1.0439,1.1591,1.0039,1.0075,0.0837
06_NA,H3N8,Human,6,1.6471,1.6576,1.6403,1.6276,0.037
06_NA,H3N8,Non-human Mammal,449,1.1514,1.3244,1.0423,1.0638,0.1401
06_NA,H7N7,Human,43,1.4673,1.5595,1.3968,1.3733,0.1254
06_NA,H7N7,Non-human Mammal,11,1.349,1.3581,1.2192,1.2209,0.1298
06_NA,H7N9,Human,804,1.1878,1.363,1.0979,1.0961,0.1571
06_NA,H7N9,Non-human Mammal,3,1.5872,1.5981,1.5736,1.4968,0.1573
06_NA,H9N2,Human,76,1.5132,1.5725,1.417,1.4069,0.1289
06_NA,H9N2,Non-human Mammal,66,1.4909,1.5753,1.4242,1.3995,0.132
06_NA,H5N1,Human,490,1.4209,1.5568,1.3125,1.321,0.1424
06_NA,H5N1,Non-human Mammal,110,1.6136,1.7155,1.5639,1.5522,0.104
06_NA,H5N6,Human,49,1.5644,1.6779,1.499,1.4861,0.1249
06_NA,H5N6,Non-human Mammal,19,1.6281,1.6627,1.5677,1.5808,0.0559
06_NA,H5Nx (North America),Human,45,1.6593,1.6755,1.5674,1.5701,0.0929
06_NA,H5Nx (North America),Non-human Mammal,1570,1.6297,1.6435,1.6202,1.6135,0.0309
07_M,H1N1,Human,33285,0.8683,1.1008,0.7815,0.8127,0.1399
07_M,H1N1,Non-human Mammal,4237,1.0246,1.1928,0.9027,0.9225,0.152
07_M,H3N2,Human,39614,0.8625,1.0504,0.7666,0.802,0.1235
07_M,H3N2,Non-human Mammal,2789,1.021,1.1837,0.9138,0.9264,0.162
07_M,H2N2,Human,111,0.9775,1.1899,0.8544,0.8851,0.1576
07_M,H1N2,Human,70,1.2439,1.3827,1.0309,1.044,0.2184
07_M,H1N2,Non-human Mammal,3371,1.0037,1.1351,0.8952,0.9067,0.1379
07_M,H3N8,Human,5,1.3945,1.4882,1.3868,1.4031,0.0625
07_M,H3N8,Non-human Mammal,309,1.092,1.3282,0.9997,1.0202,0.1551
07_M,H7N7,Human,4,1.5774,1.6491,1.5325,1.5545,0.079
07_M,H7N7,Non-human Mammal,13,1.2365,1.3056,1.1407,1.1665,0.0905
07_M,H7N9,Human,591,1.334,1.4819,1.205,1.2004,0.1783
07_M,H7N9,Non-human Mammal,3,1.6846,1.695,1.6716,1.6421,0.0748
07_M,H9N2,Human,69,1.4074,1.4782,1.3044,1.2783,0.1677
07_M,H9N2,Non-human Mammal,55,1.5356,1.6977,1.4358,1.4259,0.1648
07_M,H5N1,Human,408,1.5062,1.595,1.3766,1.3523,0.1843
07_M,H5N1,Non-human Mammal,90,1.641,1.6954,1.5737,1.5733,0.1028
07_M,H5N6,Human,37,1.5353,1.6061,1.4058,1.3944,0.1785
07_M,H5N6,Non-human Mammal,19,1.6643,1.7219,1.6068,1.5957,0.0855
07_M,H5Nx (North America),Human,20,1.5084,1.5491,1.4785,1.4763,0.0662
07_M,H5Nx (North America),Non-human Mammal,800,1.5923,1.652,1.569,1.5596,0.0707
08_NS,H1N1,Human,32078,0.8576,1.0277,0.7777,0.8079,0.1126
08_NS,H1N1,Non-human Mammal,3679,0.8427,1.0874,0.7177,0.7549,0.1642
08_NS,H3N2,Human,36709,0.7694,0.917,0.7112,0.722,0.1053
